Elapsed time,LoadExamResultsHomePage (failure),LoadExamResultsHomePage (success),LoadExamResultsHomePage-0 (success),LoadExamResultsHomePage-1 (failure),LoadExamResultsHomePage-1 (success),SearchExamResults (failure),SearchExamResults (success),SearchExamResults-0 (success),SearchExamResults-1 (failure),SearchExamResults-1 (success),SearchExamResults-2 (failure),SearchExamResults-2 (success)
16:47:04.0,13.0,20.0,,18.0,2.0,23.0,21.0,2.0,20.0,1.0,21.0,
16:47:05.0,2.0,,,,,2.0,,4.0,,1.0,,
16:47:06.0,8.0,1.0,,1.0,,11.0,,,,,,
16:47:07.0,,38.0,43.0,,38.0,,74.0,11.0,,73.0,,73.0
16:47:09.0,,10.0,17.0,,10.0,,,1.0,,,,
16:47:10.0,,13.0,82.0,,13.0,,8.0,25.0,,9.0,,7.0
16:47:11.0,,3.0,1.0,,3.0,,2.0,,,1.0,,2.0
16:47:14.0,,38.0,81.0,,38.0,,14.0,45.0,,14.0,,14.0
16:47:16.0,,10.0,10.0,,10.0,,2.0,8.0,,2.0,,2.0
16:47:17.0,,12.0,3.0,,12.0,,4.0,,,5.0,,4.0
16:47:18.0,1.0,5.0,1.0,1.0,4.0,32.0,12.0,,10.0,1.0,10.0,2.0
16:47:19.0,1.0,,,,,1.0,,,,,,
16:47:20.0,4.0,8.0,,8.0,,10.0,8.0,,8.0,,8.0,
16:47:21.0,6.0,40.0,7.0,3.0,37.0,,1.0,10.0,,2.0,,1.0
16:47:22.0,45.0,1.0,,1.0,,13.0,,,,,,
16:47:23.0,2.0,11.0,2.0,,11.0,,1.0,,,,,1.0
16:47:24.0,,11.0,1.0,,11.0,,1.0,,,2.0,,1.0
16:47:25.0,,5.0,1.0,,5.0,2.0,1.0,,,,,1.0
16:47:26.0,15.0,,,,,1.0,,,,,,
16:47:27.0,3.0,2.0,,2.0,,10.0,,,,,,
16:47:28.0,2.0,37.0,2.0,1.0,36.0,,11.0,,,11.0,,12.0
16:47:29.0,5.0,1.0,,1.0,,13.0,,,,,,
16:47:30.0,1.0,10.0,2.0,,10.0,,5.0,,,5.0,,6.0
16:47:31.0,,11.0,2.0,,11.0,,13.0,4.0,,14.0,,12.0
16:47:32.0,,3.0,,,3.0,,7.0,7.0,,6.0,,6.0
16:47:33.0,6.0,4.0,1.0,,4.0,12.0,,6.0,,,,
16:47:34.0,,,,,,32.0,,,,,,
16:47:35.0,,33.0,36.0,,33.0,,13.0,49.0,,16.0,,13.0
16:47:37.0,,11.0,58.0,,11.0,,16.0,117.0,,14.0,,17.0
16:47:38.0,1.0,7.0,21.0,,7.0,3.0,22.0,15.0,,24.0,,22.0
16:47:39.0,,5.0,15.0,,5.0,,5.0,7.0,,3.0,,4.0
16:47:40.0,,6.0,35.0,,6.0,,9.0,7.0,,10.0,,9.0
16:47:41.0,5.0,24.0,,24.0,,14.0,54.0,,54.0,,54.0,
